loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,days_past_due,modification_flag,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type,balance_to_orig_ratio,seasoning_pct,monthly_interest_accrual,credit_risk_tier,ltv_risk_tier,dti_risk_tier,combined_risk_index,is_currently_delinquent,is_severely_delinquent,dpd_to_age_ratio,is_modified,state_AZ,state_CA,state_CO,state_CT,state_FL,state_GA,state_IL,state_IN,state_KY,state_LA,state_MA,state_MD,state_MI,state_MN,state_MO,state_NC,state_NJ,state_NY,state_OH,state_OK,state_OR,state_PA,state_SC,state_TN,state_TX,state_UT,state_VA,state_WA,state_WI,loan_purpose_Refinance_Cashout,loan_purpose_Refinance_NoCashout,occupancy_type_Primary,occupancy_type_Second_Home,property_type_Multi_Family,property_type_Single_Family,property_type_Townhouse,servicer_name_ServicerB,servicer_name_ServicerC,servicer_name_ServicerD,servicer_name_ServicerE,current_status_60DPD,current_status_90DPD,current_status_Current,current_status_Default,current_status_Prepaid,current_balance_is_missing,interest_rate_is_missing
LN000000,1,2022-03,2022-03,1,359,103664,103541.81,4.715,0,0,0.0,1.0,0.0,0.0,Current,0,none,0.9988212879110567,0.0027777777006172863,406.83302845833333,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,2,2022-04,2022-03,2,358,103664,103419.61,4.715,0,0,0.0,1.0,0.0,0.0,Current,0,none,0.997642479453075,0.005555555401234573,406.35288429166667,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,3,2022-05,2022-03,3,357,103664,103297.42,4.715,0,0,1.0,1.0,0.0,0.0,Current,0,none,0.9964637674605973,0.008333333101851859,405.8727794166667,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,4,2022-06,2022-03,4,356,103664,103175.22,4.715,0,0,1.0,1.0,0.0,0.0,Current,0,none,0.9952849590026156,0.011111110802469145,405.39263525,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,5,2022-07,2022-03,5,355,103664,103053.03,4.715,0,0,1.0,1.0,0.0,0.0,30DPD,0,none,0.9941062470101378,0.013888888503086432,404.912530375,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,6,2022-08,2022-03,6,354,103664,102930.84,4.715,30,1,1.0,1.0,0.0,1.0,30DPD,0,none,0.9929275350176601,0.016666666203703717,404.4324255,3,5,3,11,1,0,0.1666666574074079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
LN000000,7,2022-09,2022-03,7,353,103664,102808.64,4.715,30,0,0.0,0.0,0.0,1.0,Current,0,none,0.9917487265596785,0.019444443904321006,403.95228133333336,3,5,3,11,1,0,0.1428571360544221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
LN000000,8,2022-10,2022-03,8,352,103664,102686.45,4.715,0,0,0.0,0.0,0.0,1.0,Current,0,none,0.9905700145672007,0.02222222160493829,403.4721764583333,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,9,2022-11,2022-03,9,351,103664,102564.25,4.715,0,0,0.0,0.0,0.0,1.0,Current,0,none,0.989391206109219,0.024999999305555576,402.99203229166665,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,10,2022-12,2022-03,10,350,103664,102442.06,4.715,0,0,0.0,0.0,0.0,1.0,Current,0,none,0.9882124941167413,0.027777777006172864,402.51192741666665,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,11,2023-01,2022-03,11,349,103664,102319.87,4.715,0,0,0.0,0.0,0.0,1.0,Current,0,none,0.9870337821242635,0.03055555470679015,402.03182254166666,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,12,2023-02,2022-03,12,348,103664,102197.67,4.715,0,0,0.0,0.0,0.0,1.0,Current,0,none,0.9858549736662818,0.033333332407407434,401.551678375,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,13,2023-03,2022-03,13,347,103664,102075.48,4.715,0,0,0.0,0.0,0.0,1.0,Current,0,none,0.9846762616738041,0.03611111010802472,401.0715735,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,14,2023-04,2022-03,14,346,103664,101953.28,4.715,0,0,0.0,0.0,0.0,1.0,Current,0,none,0.9834974532158225,0.03888888780864201,400.59142933333334,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,15,2023-05,2022-03,15,345,103664,101831.09,4.715,0,0,0.0,0.0,0.0,1.0,Current,0,none,0.9823187412233447,0.04166666550925929,400.11132445833334,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,16,2023-06,2022-03,16,344,103664,101708.9,4.715,0,0,0.0,0.0,0.0,1.0,Current,0,none,0.981140029230867,0.04444444320987658,399.6312195833333,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,17,2023-07,2022-03,17,343,103664,101586.7,4.715,0,0,0.0,0.0,0.0,1.0,Prepaid,0,none,0.9799612207728853,0.04722222091049387,399.1510754166667,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
LN000000,18,2023-08,2022-03,18,342,103664,101586.7,4.715,0,0,,,,,,0,none,0.9799612207728853,0.04999999861111115,399.1510754166667,3,5,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
